 ,Area,Mean,Min,Max,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,4.970,127.481,30,178,3.376,177,72,55.408,2.334
2,9.058,109.677,27,175,5.075,83,141,169.114,2.150
3,8.939,119.623,29,169,4.524,19,408,36.384,3.017
4,5.686,90.998,28,174,4.578,175,168,109.573,2.216
5,6.890,90.313,30,175,3.845,327,65,175.711,2.616
6,8.038,114.216,25,173,4.813,503,491,12.653,3.176
7,5.356,132.458,28,188,3.524,499,501,112.380,2.730
8,5.337,141.528,25,187,3.609,1052,136,10.713,2.227
9,4.410,118.406,27,191,3.371,1101,88,14.826,1.846
10,4.373,101.017,22,172,3.069,71,611,91.790,2.163
11,6.467,105.744,20,182,3.940,89,732,18.435,2.748
12,3.721,108.094,27,166,3.940,263,719,4.185,1.335
13,7.570,128.379,38,181,4.149,1201,384,6.633,2.865
14,5.457,134.109,30,183,3.674,304,741,15.124,2.451
15,2.425,97.496,28,158,2.373,440,749,46.637,1.552
16,4.612,120.791,31,179,3.192,753,679,131.348,2.340
17,4.704,118.420,36,195,3.233,723,728,11.976,2.219
18,2.352,105.098,33,178,2.308,385,853,175.236,1.277
19,8.259,100.561,21,157,5.051,483,820,146.611,2.183
20,1.635,116.764,31,173,1.831,451,729,47.121,1.196
21,3.610,99.496,23,170,3.091,1131,153,7.125,2.053
22,3.197,95.322,26,171,2.714,375,329,137.862,1.735
23,2.517,114.836,46,157,2.516,776,616,162.255,1.545
24,2.021,88.395,29,170,2.711,827,739,135.000,1.423
25,2.921,124.928,41,188,3.360,1,1194,86.730,1.736
26,5.540,138.328,32,181,3.948,188,1106,95.572,2.437
27,12.806,130.186,38,182,7.245,304,1015,64.113,2.694
28,5.576,126.730,33,185,3.849,468,1047,71.114,2.262
29,5.889,116.721,28,179,3.608,588,914,140.389,2.604
30,1.571,101.696,30,167,2.033,740,830,45.000,1.286
31,3.252,97.556,26,171,2.847,903,844,45.000,1.559
32,4.015,102.272,21,182,3.356,664,1004,91.637,1.955
33,9.811,130.065,32,181,5.802,748,1111,67.671,2.982
34,4.566,129.905,42,183,3.046,783,1061,65.854,2.296
35,7.827,131.080,30,183,5.212,955,908,147.771,1.765
36,18.630,123.808,27,187,10.677,1027,1012,130.267,2.094
37,5.034,103.807,25,178,3.816,1300,805,11.592,2.381
38,1.773,131.648,37,173,2.381,1027,981,130.101,1.072
39,2.857,136.727,43,181,2.915,891,1180,62.592,1.582
40,6.210,123.544,20,184,4.533,609,1277,76.551,1.807
41,5.246,116.007,32,171,3.348,361,1244,166.759,2.326
42,3.215,115.471,24,163,3.008,364,1393,157.521,1.902
43,17.308,122.562,27,174,6.718,295,1540,75.964,4.368
44,4.814,114.365,27,167,3.327,212,1409,101.634,2.337
45,8.746,122.353,29,186,4.475,979,1249,136.736,2.496
46,7.423,127.207,42,191,4.601,411,1595,90.000,2.429
47,10.206,111.329,23,191,4.984,467,1519,90.000,2.743
48,8.544,125.457,26,190,4.554,585,1611,8.471,3.126
49,12.135,108.246,18,177,7.160,703,1564,152.063,2.402
50,6.421,100.541,30,172,4.792,287,1797,106.260,2.711
51,2.030,118.846,57,170,2.340,124,1775,145.008,1.364
52,19.081,120.444,28,178,15.538,795,2025,177.879,2.041
53,3.371,77.946,28,127,2.850,325,1881,19.654,1.886
54,4.483,84.387,25,149,3.091,369,1897,97.125,2.135
55,2.682,91.558,27,148,2.920,392,1942,66.801,1.081
56,4.915,92.307,24,169,4.306,76,1798,16.821,1.911
57,3.656,106.148,25,180,2.780,192,1160,0.000,2.015
58,7.129,81.945,24,170,3.772,860,375,152.784,2.932
59,3.252,108.508,34,168,3.121,1313,383,137.490,1.786
60,23.270,141.262,22,196,12.611,1540,5,160.463,3.242
61,12.181,125.459,29,194,6.743,1512,507,95.711,2.709
62,5.089,139.818,31,203,4.556,1773,661,22.249,1.555
63,2.949,96.738,30,189,2.499,1719,689,94.399,1.586
64,3.473,125.630,34,184,3.002,1343,802,16.699,1.984
65,1.350,105.184,36,164,1.821,1905,814,0.000,1.259
66,3.840,127.146,47,172,3.647,1943,857,86.987,1.516
67,5.889,118.173,30,192,3.603,1943,917,28.610,2.180
68,6.587,115.477,31,191,5.371,1939,1017,87.955,2.306
69,2.756,120.287,44,180,2.699,1225,1025,16.504,1.348
70,7.193,125.699,37,176,4.399,1431,1451,168.690,1.839
71,4.051,128.633,35,177,3.309,1483,1469,100.008,1.701
72,8.580,114.727,26,187,5.075,1551,1517,100.886,2.279
73,8.075,121.447,40,173,4.418,1645,1621,176.269,3.055
74,4.364,139.924,37,178,3.613,1989,1353,158.199,1.924
75,2.095,104.224,37,148,2.711,2067,1391,8.130,1.175
76,7.313,106.793,25,174,4.139,1285,1061,95.315,2.417
77,5.429,115.387,34,173,3.360,1541,1835,93.270,2.300
78,4.667,111.856,36,177,3.355,1569,1979,90.000,1.979
79,1.847,91.279,27,147,2.334,1109,1951,160.821,1.252
80,5.310,93.744,31,161,4.346,1713,1589,41.424,2.439
81,2.214,102.058,43,162,3.186,1236,1699,43.781,1.139
82,1.589,91.867,39,152,2.286,1192,1605,123.024,0.940
83,1.029,117.616,70,146,1.649,1211,1615,54.462,0.908
84,1.249,112.360,35,180,2.122,1216,1005,161.565,1.152
85,2.343,123.349,42,169,3.087,1185,989,126.158,1.521
86,2.499,107.963,33,181,2.685,1167,702,92.045,1.386
87,8.608,93.966,20,177,4.759,1595,430,170.727,2.446
88,4.520,109.671,33,172,3.609,1532,405,169.287,1.711
89,4.051,93.172,25,158,3.400,1285,956,130.426,1.843
90,1.433,124.372,42,174,2.402,2103,943,61.390,1.193
91,4.988,122.103,49,180,3.456,2129,931,70.560,2.293
92,2.921,107.563,38,169,2.794,2164,951,95.906,1.830
93,3.950,113.284,30,158,3.091,2201,961,82.875,2.066
94,2.214,100.900,32,167,2.521,1955,691,171.254,1.641
95,1.736,101.317,34,168,2.128,1516,899,97.765,1.213
96,4.961,127.685,39,183,3.637,2193,113,71.565,1.803
97,2.738,148.772,41,185,3.091,2093,1,172.875,1.831
98,24.308,132.096,29,196,10.851,2132,7,147.995,2.994
99,2.205,100.154,37,160,2.367,1851,420,58.241,1.650
100,0.955,124.106,67,160,2.604,3033,35,83.660,1.103
101,4.189,100.789,29,190,3.091,2308,101,7.125,2.118
102,16.563,130.229,25,185,8.881,2400,163,150.945,3.392
103,5.089,122.298,40,166,4.793,2487,211,168.465,1.517
104,7.478,136.375,31,183,6.146,2536,236,176.424,1.692
105,31.400,127.731,23,184,17.649,2664,256,140.951,3.073
106,4.704,124.170,34,186,3.849,2697,615,161.114,2.039
107,6.596,110.273,26,185,4.123,2844,632,1.332,2.719
108,14.294,111.778,21,182,7.602,2556,978,5.064,2.352
109,9.177,106.917,29,184,5.477,2212,762,4.014,2.317
110,1.736,114.101,31,174,2.588,2264,711,0.000,1.342
111,7.257,103.938,31,178,3.700,2573,790,36.573,2.697
112,4.143,113.672,29,167,3.436,2840,805,22.989,2.024
113,7.910,120.641,28,165,4.456,2789,1102,161.175,2.626
114,2.003,93.830,38,151,2.128,2903,950,172.235,1.372
115,3.711,89.223,24,149,3.758,2968,935,5.856,1.679
116,2.058,103.955,40,152,2.780,3036,939,90.000,1.534
117,3.803,104.940,33,156,3.213,2816,1161,17.354,2.174
118,9.977,130.087,53,182,4.594,2383,1526,156.644,3.006
119,5.824,95.150,28,159,3.776,2396,1196,23.962,2.720
120,2.297,102.620,30,153,2.396,2937,1432,90.000,1.432
121,10.610,80.863,20,153,5.017,2423,1771,173.418,3.035
122,4.152,97.352,28,162,3.353,2269,1623,59.036,2.021
123,3.858,101.117,38,150,3.952,2281,1273,50.906,2.144
124,3.004,77.838,25,159,2.699,2973,419,163.496,1.828
125,3.169,73.704,22,167,3.498,2973,9,9.462,1.362
126,2.398,98.751,27,158,2.404,2555,1317,94.574,1.457
127,2.462,100.142,41,149,2.425,2628,1799,18.435,1.487
128,1.883,83.068,42,148,2.367,2771,1726,68.629,1.420
129,3.013,103.463,37,161,2.806,1759,1542,7.853,1.898
130,4.070,95.503,28,146,3.738,2307,1830,157.380,1.525
131,6.605,80.618,27,148,4.045,2116,1959,166.293,2.470
132,1.745,82.884,28,151,1.917,2716,1069,0.000,1.500
133,2.407,91.271,29,138,2.223,2824,1796,97.431,1.718
134,5.255,75.488,27,127,4.023,2911,1645,167.619,1.706
135,1.929,72.919,26,135,2.186,2889,1620,74.745,1.412
136,1.259,87.818,36,140,1.861,2585,1695,168.111,0.940
137,2.637,82.244,33,127,2.547,2483,1818,19.799,1.443
138,2.866,75.292,25,158,2.699,911,1393,173.884,1.933
139,2.012,70.493,32,143,2.371,1119,1535,165.964,1.247
140,3.399,84.303,33,158,2.920,1145,1589,66.801,1.936
141,1.231,111.015,44,153,2.204,1125,1364,90.000,0.897
142,1.084,106.864,54,155,1.460,1139,1391,66.801,1.091
143,1.194,107.362,46,158,1.655,1160,1400,169.992,1.080
144,1.580,90.401,40,173,2.425,1021,733,161.565,1.273
145,3.711,86.540,32,177,3.121,803,579,137.490,1.438
146,3.583,98.279,27,179,2.996,820,566,172.648,1.457
147,4.015,97.755,34,171,3.186,1111,499,164.291,1.593
148,5.144,98.859,30,172,4.375,1203,661,28.811,2.356
149,3.151,85.251,23,169,2.658,1028,647,154.359,1.942
150,1.488,103.315,39,153,2.440,1031,369,135.000,1.152
151,3.013,76.793,21,160,2.499,829,331,175.601,1.762
152,1.791,121.779,30,172,2.457,1212,372,69.444,1.140
153,7.542,92.323,31,163,4.218,843,165,1.302,2.510
154,2.903,76.908,25,167,2.699,1359,176,73.496,1.660
155,2.242,88.180,24,157,2.741,1321,172,36.469,1.069
156,1.681,105.508,41,159,2.223,764,1291,172.569,1.120
157,3.344,81.538,25,147,2.859,1013,1438,50.440,1.504
158,5.558,88.949,40,164,3.515,1409,1074,168.996,2.495
159,4.777,84.075,21,160,3.173,1315,1943,154.983,2.189
160,2.627,90.280,30,157,2.499,481,2019,32.471,1.590
161,4.005,94.190,28,158,3.104,1615,1168,81.119,1.764
162,1.543,108.119,43,158,2.033,1606,966,81.870,1.046
